)&0
(&1
/&2
+&3
-&4
=&5
;&6
:&7
.&8
*&9
[&10
]&11
:=&300
(*&301
*)&302
..&303
BEGIN&400
END&401
PROGRAM&402
VAR&403
INTEGER&404
